gloss;bbox;fps;frame_end;frame_start;instance_id;signer_id;source;split;url;variation_id;video_id;video_path
book;[462, 44, 949, 720];25;-1;1;10;31;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4;0;07069;data/raw_videos/07069.mp4
book;[234, 17, 524, 414];25;-1;1;17;36;startasl;train;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/book.mp4;0;07068;data/raw_videos/07068.mp4
book;[131, 26, 526, 480];25;-1;1;22;59;asldeafined;train;https://media.asldeafined.com/vocabulary/1466684225.687.mp4;0;07070;data/raw_videos/07070.mp4
book;[82, 11, 212, 192];25;-1;1;29;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/14/14326.mp4;0;07074;data/raw_videos/07074.mp4
drink;[551, 68, 1350, 1080];25;-1;1;0;115;aslbrick;val;http://aslbricks.org/New/ASL-Videos/drink.mp4;0;69302;data/raw_videos/69302.mp4
drink;[196, 15, 521, 414];25;-1;1;11;36;startasl;train;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/drink.mp4;0;17710;data/raw_videos/17710.mp4
drink;[167, 19, 480, 370];25;-1;1;17;94;aslsignbank;train;https://aslsignbank.haskins.yale.edu/dictionary/protected_media/glossvideo/ASL/DR/DRINK-120.mp4;0;65540;data/raw_videos/65540.mp4
drink;[289, 9, 783, 480];25;-1;1;19;52;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink%20(correct)-0UzEF7ru0sQ.mp4;0;17711;data/raw_videos/17711.mp4
drink;[673, 90, 1571, 1072];25;-1;1;20;6;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Drink-L6hHRIQzWBo.mp4;0;17712;data/raw_videos/17712.mp4
drink;[28, 0, 542, 480];25;-1;1;21;21;asldeafined;test;https://media.asldeafined.com/vocabulary/1467773819.9825.mp4;0;17713;data/raw_videos/17713.mp4
drink;[41, 9, 257, 240];25;-1;1;27;2;spreadthesign;train;https://media.spreadthesign.com/video/mp4/13/153289.mp4;0;17709;data/raw_videos/17709.mp4
drink;[49, 3, 220, 192];25;-1;1;30;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/14/14885.mp4;0;17720;data/raw_videos/17720.mp4
drink;[66, 19, 209, 192];25;-1;1;31;10;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/23/23388.mp4;0;17721;data/raw_videos/17721.mp4
drink;[66, 19, 209, 192];25;-1;1;32;10;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/23/23388.mp4;0;17722;data/raw_videos/17722.mp4
drink;[65, 20, 208, 192];25;-1;1;33;10;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/23/23389.mp4;0;17723;data/raw_videos/17723.mp4
drink;[68, 18, 220, 192];25;-1;1;34;11;signingsavvy;val;https://www.signingsavvy.com/signs/mp4/7/7796.mp4;0;17724;data/raw_videos/17724.mp4
computer;[56, 11, 240, 192];25;-1;1;3;11;signingsavvy;train;https://www.signingsavvy.com/signs/mp4/6/6326.mp4;1;12328;data/raw_videos/12328.mp4
computer;[422, 50, 824, 720];25;-1;1;6;38;startasl;val;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer-2.mp4;0;12312;data/raw_videos/12312.mp4
computer;[27, 0, 313, 240];25;-1;1;13;56;spreadthesign;train;https://media.spreadthesign.com/video/mp4/13/51378.mp4;1;12311;data/raw_videos/12311.mp4
computer;[409, 51, 833, 720];25;-1;1;16;38;startasl;train;https://s3-us-west-1.amazonaws.com/files.startasl.com/asldictionary/computer.mp4;1;12313;data/raw_videos/12313.mp4
computer;[257, 38, 1684, 1080];25;-1;1;17;4;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%203-ZIm7kG5ie_M.mp4;0;12314;data/raw_videos/12314.mp4
computer;[436, 35, 1765, 1080];25;-1;1;18;4;signschool;val;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/Computer%205-wOn7bu44o4s.mp4;1;12315;data/raw_videos/12315.mp4
computer;[412, 18, 1698, 1080];25;-1;1;19;4;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%201-_2YnCKHJy6U.mp4;2;12316;data/raw_videos/12316.mp4
computer;[473, 44, 1708, 1080];25;-1;1;20;4;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%202-_HHzYqXw-xU.mp4;2;12317;data/raw_videos/12317.mp4
computer;[365, 45, 1673, 1080];25;-1;1;21;4;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Computer%204-1f6Cc5NXBgw.mp4;0;12318;data/raw_videos/12318.mp4
computer;[494, 99, 1414, 1077];25;-1;1;22;45;signschool;train;https://signstock.blob.core.windows.net/signschool/videos/db_uploads/SignSchool%20Republic%20of%20Congo-b6U1CIWIPIw.mp4;2;12319;data/raw_videos/12319.mp4
computer;[74, 19, 565, 480];25;-1;1;23;59;asldeafined;test;https://media.asldeafined.com/vocabulary/1466901185.5915.mp4;1;12320;data/raw_videos/12320.mp4
